Table,Loan Number
closed,L2WNAPPKM-230802791
closed,L2WNTSGDW-241010319
closed,L2WNTSNLA-231004201
closed,L2WNTSBDN-180500004
closed,L2WUAPANP-231104374
closed,L2WNAPWGV-231000910
closed,L2WNAPANP-231004209
closed,L2WUTSSEC-250311737
closed,L2WNTSGDW-231003966
closed,L3WNTSZHB-230400247
closed,L2WNAPEGV-230805882
closed,L2WUTSSEC-250512114
closed,L2WUAPANP-250410638
closed,L2WUAPANP-241004871
closed,L2WUAPKRN-230300854
closed,L2WNTSGDW-250310631
closed,L2WUTSSEC-250411987
closed,L2WNTSGDW-231003881
closed,L2WUTSKNR-250510363
closed,L2WNAPEGV-241210738
closed,L2WNTSAMG-250210191
closed,L2WNAPVJY-230602056
closed,L3WNTSSDP-230600320
closed,L2WNTSADB-240510067
closed,L3WNTSMBN-230400702
closed,L3WNTSMBN-230300678
closed,L2WNAPWGV-240410022
closed,L2WUTSSEC-241211322
closed,L2WNAPEGV-230671490
closed,L2WNTSMBR-241004365
closed,L2WNAPKAD-250710243
closed,L2WUAPEGV-240610185
closed,L2WUTSWGL-240610010
closed,L3WNTSNKD-230300835
closed,L2WNKARCR-240300002
closed,L2WUTSMBR-250310579
closed,L2WNKARCR-240410028
closed,L2WNTSPRG-260211144
closed,L2WNAPKAD-251210371
closed,L2WNTSNLA-221003171
closed,L2WNAPANP-240410038
closed,L2WNTSPRG-240410056
closed,L2WUTSSEC-250411932
closed,L2WNTSNZM-231004704
closed,L2WUTSSEC-250411990
closed,L3WNTSATO-230101277
closed,L2WNAPVJY-230902290
closed,L2WNTSMBR-231003917
closed,L2WNAPSKM-231001013
closed,L2WNKARCR-250410653
closed,L2WUAPEGV-250110791
closed,L2WNKARCR-240300009
closed,L3WNTSGDW-250304418
closed,L2WNAPPKM-231002936
closed,L2WNTSMBR-240410019
closed,L3WRTSSGR-260200747
closed,L3WNTSKHM-221101745
closed,L2WUTSADB-250610513
closed,L2WNTSNZM-230804452
closed,L3WNAPKAD-230704727
closed,L2WNAPEGV-240306660
closed,L2WNTSGDW-240410023
closed,L2WNTSNZB-250411233
closed,L2WNTSADB-240410039
closed,L2WNTSGDW-231003913
closed,L2WNTSMBR-231003908
closed,L2WUAPSKM-250510100
closed,L2WUTSNLG-250310218
closed,L2WNAPWGV-231071078
closed,L3WNAPEGV-250507241
closed,L3WNTSPRG-240510083
closed,L2WUTSSEC-241010980
closed,L2WNAPGTR-231001630
closed,L2WUAPPKM-250310225
closed,L2WUTSKNR-250610389
closed,L2WUTSSEC-241011073
closed,L2WNTSPRG-240410061
closed,L2WUAPANP-250104989
closed,L2WNAPEGV-240106394
closed,L2WNAPPKM-240103093
closed,L2WNTSNLA-231004156
closed,L2WUAPKRN-250410236
closed,L3WRTSSDP-230900355
closed,L2WNKARCR-221270775
closed,L2WNAPWGV-241010253
closed,L3WNTSZHB-230500259
closed,L2WUAPANP-250410650
closed,L2WUAPPKM-230802799
closed,L2WUTSWGL-240810033
closed,L3WNAPGNT-1711001
closed,L2WNTSMBR-231103943
closed,L3WNTSWGL-230400981
closed,L2WUTSNZB-250411198
closed,L2WUTSSEC-250411968
closed,L2WNAPEGV-241010517
closed,L2WNTSNZB-240410064
closed,L2WNTSNLA-210200846
closed,L2WNAPWGV-240371264
closed,L2WUTSMBR-250510687
closed,L2WUTSSEC-250111585
closed,L3WNTSATO-220801096
closed,L2WNAPANP-240410052
closed,L3WNTSZHB-230400250
closed,L3WNTSKNR-230402603
closed,L2WNAPEGV-241110604
closed,L2WNAPANP-240410028
closed,L2WNTSKNR-240410017
closed,L2WUTSNZB-250311118
closed,L2WNTSGDW-241010278
closed,L2WNTSNZM-231170542
closed,L2WNTSBSA-240370756
closed,L3WNTSMBN-230400704
closed,L2WUTSMBR-241110340
closed,L2WNAPANP-250510661
closed,L2WUAPPKM-250210196
closed,L3WNTSSDP-230400303
closed,L2WUTSSEC-250411956
closed,L2WNAPANP-231004245
closed,L2WUTSMBR-250510704
closed,L2WUTSKNR-240903463
closed,L2WUTSGDW-250610825
closed,L3WNTSATO-220701094
closed,L3WNTSKLY-240701429
closed,L3WNTSKHM-250203055
closed,L2WUTSKNR-250410331
closed,L2WUTSSEC-250411944
closed,L2WNTSNLA-230403732
closed,L3WNTSWGL-230300943
closed,L2WNAPVJY-230902291
closed,L2WUTSKLY-250301622
closed,L2WNTSMBR-240404202
closed,L3WNTSKNR-241010180
closed,L2WNTSNZB-241010560
closed,L3WNTSWAN-241001407
closed,L2WUTSSEC-241011008
closed,L3WNAPPKM-230702712
closed,L2WNTSNLA-231004195
closed,L2WNTSNZM-240104965
closed,L2WNAPSKM-241010036
closed,L2WNTSMBR-240404203
closed,L2WUTSAMG-250410252
closed,L3WNTSATO-231001661
closed,L3WNTSPRG-251001669
closed,L2WNAPWGV-241010266
closed,L2WUTSNLG-240810035
closed,L2WUTSSEC-250411928
closed,L3WNTSKNR-241003494
closed,L2WUAPANP-250210514
closed,L2WUTSAMG-250110172
closed,L3WNTSPRG-250701311
closed,L3WNAPVZG-250410034
closed,L2WNAPSKM-240101092
closed,L2WUTSSEC-250411951
closed,L3WRTSKCG-240800849
closed,L2WUTSWGL-250110100
closed,L3WRTSMBR-251204655
closed,L2WUTSSEC-250111428
closed,L2WNTSNZB-240510073
closed,L2WNTSNZB-250110932
closed,L2WNTSGDW-231003903
closed,L2WUTSKKT-200702755
closed,L3WNTSMBN-230400695
closed,L2WNAPEGV-241010520
closed,L2WNTSPRG-231001402
closed,L2WUAPKRN-221100664
closed,L2WNTSKHM-230902238
closed,L2WNTSMBR-231003919
closed,L2WNTSGDW-241010282
closed,L3WNTSKNR-250403725
closed,L2WNAPPKM-241010038
closed,L2WUTSSEC-250412026
closed,L3WNAPGTR-240502002
closed,L2WNTSGDW-231003867
closed,L2WNAPEGV-241010506
closed,L2WNAPKAD-231205564
closed,L3WRTSSGR-240500703
closed,L2WNTSNZM-230704399
closed,L2WNTSNKD-241001033
closed,L2WNAPEGV-240410029
closed,L2WUTSGDW-250410691
closed,L3WNTSKNR-250510345
closed,L3WUAPKAR-240300469
closed,L2WUTSSEC-250411919
closed,L3WNTSATO-220701078
closed,L2WUTSNZB-240910444
closed,L2WUTSNLG-250410241
closed,L3WNTSATO-220801098
closed,L2WNTSNLA-221103331
closed,L2WNAPGTR-231001637
closed,L2WNTSGDW-250110519
closed,L3WNTSNLA-230904065
closed,L2WNTSPRG-230701249
closed,L2WUAPKRN-250310205
closed,L2WNAPKAD-210100645
closed,L3WNTSKHM-240802736
closed,L2WUAPEGV-240300009
closed,L2WUTSNLA-241004758
closed,L3WNAPVJY-240902595
closed,L3WNTSMBR-250104464
closed,L3WNAPEGV-240306626
closed,L2WUTSSEC-250111453
closed,L2WNAPEGV-231006025
closed,L2WUTSSEC-250412055
closed,L2WUKARCR-240710182
closed,L3WNTSKHM-240302590
closed,L2WNTSMBR-240404192
closed,L3WNTSKNR-240410014
closed,L2WNAPANP-230703946
closed,L3WNTSKNR-230402600
closed,L2WNTSNZB-240410048
closed,L2WNTSADB-240410038
closed,L2WNAPWGV-231071048
closed,L3WUTSKNR-250510358
closed,L2WNKARCR-241010339
closed,L3WNAPKAD-231005271
closed,L3WNTSKNR-240303304
closed,L2WUAPKRN-250310199
closed,L2WNAPKRN-231001123
closed,L2WUTSSEC-250211673
closed,L2WNAPEGV-241010526
closed,L3WNTSWAN-240201250
closed,L2WNAPPKM-241010037
closed,L2WNAPSKM-231000997
closed,L3WNAPKAR-230400338
closed,L2WNTSPRG-240310033
closed,L2WNTSWGL-231001278
closed,L2WUAPVJY-250410114
closed,L3WNAPATP-230400342
closed,L2WUTSSEC-250412036
closed,L2WUAPEGV-250110851
closed,L2WNTSWAN-231001133
closed,L2WNTSNZB-250411209
closed,L2WNAPANP-240410051
closed,L2WNAPPKM-240910031
closed,L3WNTSGDW-251004465
closed,L2WUAPANP-250410649
closed,L2WNTSGDW-241010271
closed,L2WUTSSEC-250412001
closed,L2WUAPEGV-250310988
closed,L2WUTSNLA-241004733
closed,L2WNTSPRG-231001391
closed,L2WNAPPKM-241010040
closed,L2WNAPWGV-241010224
closed,L2WUTSGDW-240810168
closed,L3WNTSMBN-250701152
closed,L3WNAPANP-230603858
closed,L2WNTSGDW-231003969
closed,L2WUAPANP-250310558
closed,L2WUTSSEC-250411931
closed,L2WNTSGDW-250410663
closed,L2WNAPEGV-231006027
closed,L3WNAPANP-230703985
closed,L2WNAPGTR-240401956
closed,L2WNAPKAD-231005278
closed,L2WUTSKNR-250610390
closed,L2WUTSKLY-240901467
closed,L2WNAPANP-250410633
closed,L2WNAPGTR-240401962
closed,L2WNKARCR-240410043
closed,L2WNTSGDW-241010314
closed,L2WUTSMBR-250110450
closed,L2WUAPPKM-250210172
closed,L2WUTSKNR-250610386
closed,L2WUAPKAD-250410190
closed,L2WUAPANP-250104943
closed,L2WUTSMBR-250410667
closed,L2WUAPANP-250410641
closed,L3WNTSKHM-240402609
closed,L2WNAPGTR-231001595
closed,L2WNTSADB-231070605
closed,L2WUTSSEC-250712300
closed,L2WNTSGDW-230903738
closed,L2WUAPKAD-250410184
closed,L2WNAPGTR-240301888
closed,L2WNTSNZB-241010577
closed,L2WUTSMBR-241010323
closed,L2WNTSNZB-240410069
closed,L2WNAPPKM-231002937
closed,L3WNTSNZB-260112084
closed,L2WUTSSEC-250411948
closed,L2WNAPEGV-250411116
closed,L2WNAPPKM-231002910
closed,L2WNAPWGV-240910176
closed,L3WNAPEGV-231106214
closed,L3WNAPVJY-250402905
closed,L2WUTSKNR-250510356
closed,L2WNTSKLY-240201344
closed,L2WNAPVZG-241010004
closed,L2WUAPKRN-250410224
closed,L2WUTSSEC-250412019
closed,L2WNTSKNR-231002967
closed,L2WUTSKLY-241001521
closed,L2WNAPANP-241010333
closed,L2WNKARCR-231071041
closed,L2WUTSMBR-250410662
closed,L3WNTSPRG-250801338
closed,L2WNTSNZB-240910494
closed,L2WNAPGTR-231001604
closed,L2WNAPGTR-230701400
closed,L2WUTSSEC-250411909
closed,L2WNAPEGV-240371855
closed,L2WNTSKKT-230805784
closed,L3WNTSWNG-250100430
closed,L2WUTSKNR-240903481
closed,L2WNAPSKM-240301212
closed,L2WNTSKHM-231002296
closed,L2WNAPPKM-221102220
closed,L2WNTSNZM-231104717
closed,L2WNTSGDW-231003902
closed,L2WNAPSKM-231001017
closed,L2WNAPANP-231004267
closed,L2WNTSKNR-231003011
closed,L2WNAPKAD-230103867
closed,L3WNTSMBN-230400700
closed,L3WNTSATO-230101276
closed,L2WNAPEGV-250411129
closed,L2WNAPKRN-231001148
closed,L2WUTSSEC-241111168
closed,L2WUTSSEC-250412028
closed,L2WUTSSEC-251212808
closed,L2WNKARCR-231001690
closed,L2WUTSSEC-250411949
closed,L2WNTSGDW-240404330
closed,L2WNAPKRN-241010064
closed,L2WRAPVJY-250602942
closed,L2WUTSNLA-241004753
closed,L2WUTSSEC-250411926
closed,L2WNKABLR-230400610
closed,L3WNTSKNR-250303707
closed,L3WNTSATO-221201263
closed,L2WNAPANP-241010344
closed,L2WNTSMBR-210901977
closed,L2WNAPEGV-240910394
closed,L2WNAPKAD-230804917
closed,L2WUAPKAD-250410186
closed,L3WNTSATO-220701090
closed,L2WUAPGTR-250510137
closed,L2WNAPWGV-231071071
closed,L2WUTSMBR-241004379
closed,L2WNTSGDW-231204088
closed,L2WUAPPKM-250410246
closed,L2WUTSSEC-250712375
closed,L2WNAPEGV-241010523
closed,L3WNAPGNT-230100808
closed,L3WNTSNLA-231204280
closed,L2WUTSNZB-250411211
closed,L2WNAPEGV-241010542
closed,L2WUAPKRN-250110166
closed,L2WUAPKAD-250310154
closed,L2WNTSADB-240710110
closed,L2WNTSAMG-240201911
closed,L2WUTSNZM-240305062
closed,L2WUTSSEC-241011010
closed,L2WUTSSEC-250211619
closed,L3WNTSKHM-250103001
closed,L2WUTSSEC-250411969
closed,L2WUTSWGL-240810035
closed,L2WUTSSEC-250411922
closed,L3WNTSGAD-230400118
closed,L2WNTSKKT-221004813
closed,L2WUTSCMP-220900949
closed,L2WNTSPRG-240410059
closed,L2WUAPANP-241204933
closed,L2WUTSKNR-250510360
closed,L2WNAPANP-240410031
closed,L2WNTSNZB-241210785
closed,L2WNTSMBR-241010299
closed,L2WNAPWGV-231000905
closed,L2WUAPKRN-250510249
closed,L2WUTSKLY-250301631
closed,L2WNAPPKM-231002934
closed,L2WNTSPRG-231001414
closed,L2WNKARCR-240371149
closed,L2WUAPANP-240710162
closed,L2WNAPGTR-240802129
closed,L2WNAPEGV-231006021
closed,L2WNTSMBR-240204153
closed,L3WNAPEGV-240606742
closed,L3WNTSATO-230101266
closed,L3WNTSATO-230801557
closed,L2WUTSMBR-250204478
closed,L3WNTSGDW-250604446
closed,L2WUAPKRN-250610272
closed,L3WNAPEGV-240406675
closed,L3WRTSKCG-260200885
closed,L3WNTSMBR-250404511
closed,L2WNAPGTR-240101771
closed,L2WNTSWAN-240401291
closed,L2WUAPWGV-241110279
closed,L3WNTSPRG-230400943
closed,L2WUAPKRN-250301476
closed,L2WNAPPKM-230902844
closed,L2WNTSGDW-241010287
closed,L3WNTSKHM-240402617
closed,L2WNTSGDW-231003934
closed,L2WNAPWGV-240410011
closed,L2WUTSNKD-250810293
closed,L2WUTSKNR-250510357
closed,L2WNTSPRG-250410570
closed,L2WNTSADB-241010220
closed,L2WUAPVJY-250410107
closed,L2WUTSNLG-250310205
closed,L2WNAPWGV-250410541
closed,L2WUTSNZB-241010614
closed,L2WUTSSEC-250412042
closed,L2WNAPVZG-231100477
closed,L2WNAPEGV-241010545
closed,L2WNKARCR-250610724
closed,L2WNAPWGV-230971041
closed,L2WUTSSEC-241211323
closed,L2WUTSKNR-250510365
closed,L2WNKARCR-240410033
closed,L2WUTSWGL-250410155
closed,L2WNAPWGV-231071083
closed,L3WNTSPRG-230400958
closed,L2WNTSADB-240410029
closed,L2WUTSSEC-241111211
closed,L2WNTSNLG-250610276
closed,L2WUTSNZB-250511357
closed,L3WUTSATO-240801827
closed,L2WUTSNLA-240704618
closed,L2WUTSMBR-241010307
closed,L2WUTSMBR-250310591
closed,L2WUTSSEC-250111560
closed,L2WUAPKAD-250210123
closed,L2WNTSGDW-240404329
closed,L2WUTSSEC-241011036
closed,L2WNAPWGV-250410560
closed,L3WNAPEGV-231006096
closed,L2WUAPKRN-250410233
closed,L2WUAPEGV-250110806
closed,L2WUKARCR-250410639
closed,L2WNTSMBR-241010288
closed,L2WNAPEGV-241010550
closed,L2WUTSSEC-240810712
closed,L2WNTSGDW-231003904
closed,L2WUTSMBR-250410669
closed,L3WRTSKHM-231002285
closed,L3WNTSATO-230101283
closed,L2WUAPEGV-240510088
closed,L3WNAPGNT-230400821
closed,L2WNAPWGV-240410013
closed,L3WNAPKAR-231100418
closed,L3WNTSKNR-241203579
closed,L2WUTSSEC-250111442
closed,L3WNTSMBN-231100841
closed,L3WNTSATO-220701091
closed,L2WNTSMLL-240370409
closed,L2WNTSPRG-231001407
closed,L2WNAPEGV-241010567
closed,L2WNAPANP-231004265
closed,L2WNTSMBR-240404209
closed,L2WNTSNZB-240410026
closed,L2WUTSSEC-250512109
closed,L2WNAPWGV-240410026
closed,L3WNAPGTR-240101748
closed,L2WNAPWGV-231071064
closed,L2WNTSGDW-231003946
closed,L2WNAPGTR-240602021
closed,L2WNAPWGV-221000751
closed,L2WUTSSEC-250412015
closed,L2WNTSNZM-231004703
closed,L2WUTSSEC-250211639
closed,L2WUTSSEC-250512062
closed,L2WNTSAMG-230101289
closed,L3WRTSNLA-241204853
closed,L2WNTSPRG-231001400
closed,L2WNKARCR-240371152
closed,L2WUTSSEC-241011031
closed,L2WNKARCR-231001681
closed,L2WNTSNZB-250411244
closed,L2WUTSSEC-250411993
closed,L3WRTSMBR-250304499
closed,L3WNAPVZG-240600570
closed,L2WNTSWAN-230801093
closed,L2WNTSGDW-231003864
closed,L2WNTSPRG-241010282
closed,L2WNAPKAD-231005187
closed,L2WUTSSEC-250411958
closed,L2WUTSAMG-240710070
closed,L2WUAPGTR-231001587
closed,L2WNAPEGV-240610179
closed,L2WNAPSKM-240301178
closed,L3WNTSATO-220801101
closed,L2WNTSMBR-241010310
closed,L2WUTSGDW-241110397
closed,L3WNTSMBN-230200668
closed,L2WNKARCR-240410036
closed,L2WNAPANP-241010334
closed,L2WUTSSEC-250412020
closed,L2WUTSADB-240910192
closed,L2WUAPANP-250104991
closed,L2WUTSMBR-240400017
closed,L2WNAPKAD-230704724
closed,L3WNTSKHM-230101861
closed,L2WNTSNKD-241001034
closed,L2WUTSMBR-241010303
closed,L3WNTSPRG-230400960
closed,L2WNTSNZB-241010580
closed,L2WNAPEGV-241010565
closed,L2WUTSNZB-250110937
closed,L2WRAPEGV-250407200
closed,L2WUTSSEC-250411973
closed,L2WUTSSEC-250411986
closed,L3WNTSNLA-241004749
closed,L3WRTSPRG-251201382
closed,L2WNTSMBR-241010289
closed,L2WUAPKAD-250210147
closed,L2WUAPVJY-241002638
closed,L2WUTSKLY-250101595
closed,L2WNTSGDW-240404320
closed,L2WNAPPKM-230802789
closed,L3WNTSKHM-250503154
closed,L3WNTSWNG-240400397
closed,L2WUTSNKD-241010074
closed,L2WNTSPRG-240410051
closed,L3WNTSATO-221201255
closed,L2WNTSNZB-241010584
closed,L3WNAPKAR-221100285
closed,L2WNTSNZB-241010553
closed,L2WUTSMBR-250110499
closed,L2WUKARCR-241010359
closed,L2WNAPGTR-230801510
closed,L2WNTSNZB-250211038
closed,L2WUTSSEC-250111467
closed,L2WNAPEGV-241010535
closed,L2WUAPEGV-240610167
closed,L2WUTSSEC-250411972
closed,L2WNKARCR-241210445
closed,L2WUTSGDW-240710106
closed,L2WNAPWGV-240410009
closed,L2WUTSSEC-250612191
closed,L2WNAPEGV-240410041
closed,L2WNTSNZM-231104786
closed,L2WNAPKAD-231005159
closed,L2WNTSPRG-240101543
closed,L3WNTSZHB-250910148
closed,L2WNAPWGV-250110369
closed,L3WNTSATO-220901144
closed,L2WNTSNZM-230804513
closed,L2WUAPKAD-250310173
closed,L2WUTSGDW-250310636
closed,L2WNAPEGV-230305562
closed,L2WUTSSEC-241211287
closed,L2WUTSSEC-250411915
closed,L2WNAPKAD-240305807
closed,L2WUAPPKM-241203278
closed,L3WNAPEGV-241106940
closed,L2WUTSSEC-250412031
closed,L2WNAPWGV-240410019
paid,L3WRTSPRG-260501427
paid,L2WNTSNZM-230804452
